554.85	1
555.85	0.9892
556.85	0.9879
557.85	0.9865
558.85	0.9847
559.85	0.9824
560.85	0.9795
561.85	0.9757
562.85	0.9706
563.85	0.9632
564.85	0.9521
565.0125	0.9498
565.85	0.9492
566.85	0.9483
567.85	0.9475
568.85	0.9465
569.2664	0.9461
569.85	0.9457
570.85	0.9449
571.85	0.944
572.85	0.9432
573.85	0.9423
574.85	0.9413
575.85	0.9404
576.85	0.9394
577.85	0.9383
578.85	0.9372
579.0582	0.937
580.85	0.9351
581.85	0.9339
582.85	0.9327
583.85	0.9315
584.85	0.9302
585.85	0.9288
586.85	0.9274
587.85	0.926
588.85	0.9244
589.85	0.9228
590.3192	0.9221
590.85	0.9212
591.85	0.9195
592.85	0.9178
593.85	0.916
594.85	0.9141
595.85	0.9121
596.85	0.91
597.85	0.9078
598.85	0.9055
599.85	0.903
600.85	0.9004
601.85	0.8977
602.85	0.8948
603.85	0.8917
604.85	0.8884
605.85	0.8849
606.85	0.8811
607.85	0.8771
608.85	0.8727
609.85	0.868
610.85	0.863
611.85	0.8574
612.85	0.8514
613.85	0.8448
614.85	0.8375
615.5032	0.8323
615.85	0.8302
616.85	0.8239
617.85	0.8171
618.4049	0.8131
618.85	0.8098
619.85	0.8019
620.85	0.7932
621.85	0.7837
622.85	0.7733
623.85	0.7617
624.85	0.749
625.85	0.7347
626.85	0.7187
627.85	0.7005
628.645	0.6841
628.85	0.6808
629.85	0.6629
630.85	0.6429
631.2397	0.6345
631.85	0.6228
632.85	0.6019
633.85	0.5788
634.85	0.553
635.85	0.5243
636.85	0.4921
637.85	0.4557
638.85	0.4142
639.85	0.3667
640.85	0.3118
641.85	0.2481
642.85	0.1879
643.85	0.1177
644.85	0.0341
645.2129	0
