5.153038E+02	1
5.466016E+02	9.506224E-01
5.471587E+02	9.495332E-01
5.473890E+02	9.488560E-01
5.637385E+02	9.007692E-01
5.641414E+02	8.992559E-01
5.643049E+02	8.983952E-01
5.829505E+02	8.002606E-01
5.830772E+02	7.992984E-01
5.831879E+02	7.982923E-01
5.832985E+02	7.972862E-01
5.939243E+02	7.006887E-01
5.940213E+02	6.996450E-01
5.944262E+02	6.928965E-01
6.000237E+02	5.995246E-01
6.000814E+02	5.983726E-01
6.050289E+02	4.992783E-01
6.053122E+02	4.921951E-01
6.130052E+02	2.997375E-01
6.130301E+02	2.984956E-01
6.148184E+02	2.090785E-01
6.152216E+02	1.944617E-01
6.190010E+02	9.998905E-02
6.191884E+02	9.788032E-02
6.265933E+02	1.457547E-02
6.270681E+02	9.318905E-03
6.279948E+02	5.248756E-05
6.284567E+02	0.000000E+00
